,Brown_Dwarf,Constellation,Right_Ascension,Declination,App_mag,Distance,Spectral_Type,Mass,Radius,Discovery_year
0,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,48,0.99,2004
1,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,19,1.63,
2,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,,,2002
3,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,79,1.09,
4,2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,,143,L4,,,
5,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,,236,M9.5β,31,1.44,
6,2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,,46.9,M8,,,
7,2MASSW J0030300-145033,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,,87.2,L7,54,0.98,n/a
8,2MASS J00332386-1521309 [de],Cetus,0h 33m 23.86s,−15° 21′ ″,,131,L1-L4β,29,1.43,n/a
9,2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5° 23′ 5″,,31,T6.5,42,0.94,n/a
10,2MASS 0036+1821,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,42,0.94,2000
11,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,,57,L2β,23,1.62,n/a
12,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,,40,L7.5p,12,1.3,n/a
13,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,,34,T7,40,0.94,n/a
14,2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,−28° 22′ 42″,,,M7.5,,,n/a
15,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,,96,L0β,29,1.43,n/a
16,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08,30,T8.5,23,,2013
17,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,,70,L6β,52,0.98,
18,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,,51,L8,52,0.98,
19,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,,163,L2:,20,1.62,
20,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,,130,L0γ,20,1.61,
21,SDSS J015141.69+124429.6,,1h 51m 41.55s,12° 44′ 30″,,70,T1,47,0.97,
22,DENIS-P J020529.0−115925A,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65,L5.5,,,1997
23,DENIS-P J020529.0−115925B,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65,L8,,,1997
24,DENIS-P J020529.0−115925C,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65,T0,,,1997
25,SDSS J020742.48+000056.2 [de],Cetus,2h 7m 42.84s,−0° 0′ 56.4″,,111,T4.5,47,0.97,n/a
26,2MASS J02103857-3015313,,2h 10m 38.57s,−30° 15′ 31.3″,,101,L0γ,15,1.53,n/a
27,2MASS J02340093-6442068,,2h 34m 0.93s,−64° 42′ 6.8″,,155,L0γ,20,1.62,n/a
28,2MASS J02411151-0326587 [de],Cetus,2h 41m 11.51s,−3° 26′ 58.7″,,152,L0γ,27,1.41,n/a
29,2MASS J02431371−2453298,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,,35,T6,33,0.99,2002
30,LP 771-21,,2h 48m 41s,−16° 51′ 21.6″,,53,M8,78,1.08,n/a
31,2MASS J02511327+0047364,,2h 51m 13.27s,−0° 47′ 36.4″,,,M8,,,n/a
32,Teegarden's star,Aries,2h 53m 0.84s,+16° 52′ 53.2″,15.40,12.578,M7,80,1.27,2003
33,2MASS J02535980+3206373,,2h 53m 59.8s,32° 6′ 37.3″,,184,M7β,65,1.9,n/a
34,WISE J0254+0223,Cetus,2h 54m 9.45s,2° 23′ 59.1″,16.01,24,T8,65,1.9,n/a
35,DEN 0255-4700,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92,16.2,L8,80,0.97,2006
36,2MASS J03185403-3421292 [de],Fornax,3h 18m 54.03s,−34° 21′ 29.2″,,45,L7,49,0.97,2008
37,2MASS J03205965+1854233,,3h 20m 59.65s,18° 54′ 23.3″,,47,M8,88,1.15,n/a
38,2MASS J03231002-4631237,,3h 23m 10.02s,−46° 31′ 23.7″,,192,L0γ,23,1.66,n/a
39,SDSS J032553.17+042540.1,,3h 25m 53.22s,4° 25′ 40.6″,,59,T5.5,45,0.95,n/a
40,2MASS J03264225-2102057 [de],Eridanus,3h 26m 42.25s,−21° 2′ 5.7″,,80,L5γ,18,1.3,2003
41,2MASS J03284265+2302051 [de],Taurus,3h 28m 42.65s,23° 2′ 5.1″,,98,L8,54,0.98,2000
42,2MASS J03341218-4953322,,3h 34m 12.18s,−49° 53′ 32.2″,,27.0,M9,73,1.04,n/a
43,LP 944-20,Fornax,3h 39m 35.22s,−35° 25′ 44″,10.725,20.9,M9β,73,1.43,n/a
44,2MASP J0345432+254023,,3h 45m 43.16s,25° 40′ 23.3″,,88,L0,74,1.05,1997
45,Teide 1,Taurus,3h 47m 18s,+24° 22′ 31″,,380,M8,55,3.78,1995
46,2MASS J03510004-0052452,,3h 51m 0.04s,−0° 52′ 45.2″,,48,M8,102,1.27,n/a
